date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2011-12-30,15.4,15.61,15.59,15.1,715833.44,0.17,1.1,15.618,16.041,16.325,716376.59,778222.72,800705.17
2011-12-23,15.17,15.62,15.42,15.02,578661.31,0.14,0.92,15.658,16.085,16.36,706095.09,763718.15,810265.51
2011-12-16,15.86,15.96,15.28,14.93,711381.06,-0.57,-3.6,15.764,16.179,16.456,760182.56,798931.51,832417.73
2011-12-09,15.94,16.15,15.85,15.7,536030.25,-0.1,-0.63,16.022,16.255,16.553,750614.14,796559.15,840589.14
2011-12-02,15.82,16.27,15.95,15.48,1039976.88,0.16,1.01,16.248,16.332,16.66,824907.38,810463.16,881357.05
2011-11-25,15.97,16.14,15.79,15.59,664425.94,-0.16,-1.0,16.464,16.437,16.738,840068.85,785526.45,898495.4
2011-11-18,16.68,16.85,15.95,15.86,849098.69,-0.62,-3.74,16.512,16.506,16.795,821341.21,778009.8,928827.78
2011-11-11,16.85,16.97,16.57,16.51,663538.94,-0.41,-2.42,16.594,16.604,16.847,837680.45,784796.39,934235.74
2011-11-04,17.03,17.19,16.98,16.62,907496.44,-0.05,-0.29,16.488,16.685,16.813,842504.15,826627.43,949841.99
2011-10-28,16.1,17.2,17.03,15.93,1115784.25,1.0,6.24,16.416,16.647,16.791,796018.94,827303.5,933099.27
2011-10-21,16.48,16.71,16.03,15.7,570787.75,-0.33,-2.02,16.41,16.608,16.775,730984.04,823187.63,933294.16
2011-10-14,15.95,16.43,16.36,15.45,930794.88,0.32,2.0,16.5,16.635,16.853,734678.39,856812.86,962443.71
2011-09-30,16.43,16.76,16.04,15.84,687657.44,-0.58,-3.49,16.614,16.733,16.952,731912.33,865903.95,980277.33
2011-09-23,16.81,17.2,16.62,16.33,675070.38,-0.38,-2.23,16.882,16.85,17.034,810750.71,884619.14,964293.67
2011-09-16,16.2,17.1,17.0,16.16,790609.75,0.52,3.15,16.878,16.987,17.08,858588.06,952250.94,985641.91
2011-09-09,16.6,16.87,16.48,16.3,589259.5,-0.45,-2.66,16.806,17.039,17.14,915391.21,1011464.35,1067623.23
2011-09-01,17.0,17.12,16.93,16.55,916964.56,-0.45,-2.59,16.77,17.084,17.209,978947.34,1079645.75,1149155.93
2011-08-26,16.54,17.39,17.38,16.27,1081849.38,0.78,4.7,16.852,17.09,17.299,999895.57,1083675.09,1273002.51
2011-08-19,16.65,17.33,16.6,16.29,914257.12,-0.04,-0.24,16.818,16.941,17.288,958487.56,1073056.55,1302018.66
2011-08-12,16.22,16.7,16.64,15.55,1074625.5,0.34,2.09,17.096,16.934,17.287,1045913.81,1038895.04,1339416.07
